iter	Passed	Remaining
0	1	113
1	2	104
2	3	99
3	3	90
4	4	89
5	5	86
6	6	85
7	7	83
8	8	82
9	9	81
10	9	80
11	10	78
12	11	77
13	12	77
14	13	77
15	14	76
16	15	76
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	21	70
23	22	70
24	23	69
25	24	68
26	25	67
27	26	66
28	27	66
29	28	65
30	29	65
31	30	64
32	31	64
33	32	63
34	33	62
35	34	62
36	36	61
37	37	60
38	38	59
39	39	58
40	40	57
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	72	30
70	73	29
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	103	1
99	104	0
